Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
10/7/2012,0509,10/07/12,2012,10,12141860,3D,200 B/O W St NW,Sexual Orientation,,ADW
10/12/2012,1800-0820,10/12/12,2012,10,12146636,2D,1800 B/O M St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
10/20/2012,2258,10/20/12,2012,10,12148536,6D,600 B/O Division Ave NE,Gender Identity/Expression,,Simple Assault
10/25/2012,1800-1151 ,10/26/12,2012,10,12151408,2D,1800 B/O K St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
10/27/2012,0412,10/27/12,2012,10,12151904,4D,1400 B/O Meridian Pl ,Race,Unspecified,Robbery
10/30/2012,1230,10/30/12,2012,10,12153620,7D,2700 B/O Martin Luther King Jr Ave SE,Sexual Orientation,,Simple Assault
10/31/2012,2339,10/31/12,2012,10,12153835,3D,2800 B/O Georgia Ave NW,Sexual Orientation,,Threats
11/5/2012,1954,11/05/12,2012,11,12156229,5D,600 B/O Edgewood St NE,Sexual Orientation,,Simple Assault
11/19/2012,1452,11/19/12,2012,11,12162862,2D,1400 B/O K St NW,Race,Black,Simple Assault
11/23/2012,1000,11/23/12,2012,11,12164492,5D,Montello Ave NE & Oates St NE,Sexual Orientation,,Robbery
12/7/2012,1900,12/08/12,2012,12,12171834,3D,1900 B/O 4th ST NW,Race,Black,Damage/Defacing/Destruction of Property
12/12/2012,1746,12/12/12,2012,12,12173827,4D,1300 B/O Missouri Ave NW,Sexual Orientation,,Robbery
12/22/2012,0235,12/22/12,2012,12,12178573,4D,4200 B/O 3rd St NW,Sexual Orientation,,Simple Assault
1/2/2013,1324,01/02/13,2013,1,13000464,2D,3800 B/O Legation St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
1/2/2013,1600-0915,01/03/13,2013,1,13000847,2D,5300 B/O Nebraska Ave NW,Religion,Jewish,Damage/Defacing/Destruction of Property
1/1/2013,0115-1100,01/03/13,2013,1,13000856,3D,14th St NW & U St NW,Gender Identity/Expression,,Threats
1/5/2013,1952,01/05/13,2013,1,13001980,6D,5000 B/O G St SE,Gender Identity/Expression,,ADW
1/12/2013,1500,01/12/13,2013,1,13005159,3D,3100 B/O 14th St NW,Sexual Orientation,,Simple Assault
1/13/2013,0214,01/13/13,2013,1,13005426,3D,1300 B/O U St NW,Sexual Orientation,,Simple Assault
1/13/2013,1808-1809,01/13/13,2013,1,13005668,5D,3rd St NW & Q St NW,Sexual Orientation,,Simple Assault
2/5/2013,2200,02/07/13,2013,2,13016960,4D,600 B/O Tewkesbury Pl NW,Religion,Jewish,Damage/Defacing/Destruction of Property
2/9/2013,1400-1405,02/09/13,2013,2,13017988,3D,800 B/O Mt Vernon Pl NW,Sexual Orientation,,Simple Assault
2/22/2013,1440-1448,02/22/13,2013,2,13024055,7D,3800 B/O South Capitol St SE,Gender Identity/Expression,,ADW
2/25/2013,1600-1605,02/25/13,2013,2,13025037,7D,3100 B/O Naylor Rd SE,Sexual Orientation,,Robbery
2/27/2013,0020-0022,02/27/13,2013,2,13025678,5D,2100 B/O Queens Chapel Rd NE,Race,White,Threats
3/3/2013,0159-0200,03/03/13,2013,3,13027781,3D,1400 B/O U St NW,Sexual Orientation,,Simple Assault
3/11/2013,2034,03/11/13,2013,3,13031810,3D,1700 B/O Columbia Rd NW,Sexual Orientation,,Threats
3/12/2013,1400,03/12/13,2013,3,13032136,6D,2800 B/O Texas Ave SE Apt B5,Sexual Orientation,,Threats
3/14/2013,2249-2250,03/14/13,2013,3,13033386,3D,1900 B/O 3rd St NW,Sexual Orientation,,Simple Assault
3/17/2013,2230,03/17/13,2013,3,13034899,2D,Connecticut Ave NW & Jefferson Pl NW,Ethnicity/National Origin,Arab/Middle Eastern,Threats
3/20/2013,1737,03/20/13,2013,3,13036237,1D,800 B/O blk of H St NE,Gender Identity/Expression,,Simple Assault
3/23/2013,0210-0215,03/23/13,2013,3,13037458,3D,9th St NW & U St NW,Sexual Orientation,,Simple Assault
4/6/2013,0124,04/06/13,2013,4,13044090,3D,1700 B/O Columbia Rd NW,Race,Asian,Simple Assault
4/10/2013,1044,04/10/13,2013,4,13046217,7D,Howard Rd SE & Martin Luther King Jr Ave SE,Sexual Orientation,,Simple Assault
4/10/2013,1904,04/10/13,2013,4,13046481,6D,4400 B/O Texas Ave SE,Ethnicity/National Origin,Latino/Hispanic,ADW
4/25/2013,5300,04/25/13,2013,4,13053916,3D,1300 B/O 14th St NW,Sexual Orientation,,Robbery
5/3/2013,1800,05/05/13,2013,5,13059479,3D,11th St NW & Rhode Island Ave NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
5/11/2013,1701-1711,05/11/13,2013,5,13062765,1D,1300 B/O Potomac Ave SE,Race,White,Simple Assault
5/12/2013,1800-1900,05/14/13,2013,5,13064348,5D,1600 B/O Maryland Ave NE,Sexual Orientation,,Simple Assault
5/21/2013,0115-0118,05/21/13,2013,5,13067771,5D,500 B/O 17th St NE,Race,White,Simple Assault
